Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs,OIP,WQC
31,GUJARAT,AMRELI,Lowara,16.4,8.366,,9.2,2.74,3790.8,724.3322,1569.2,0.10400000000000001,54.238,271004.0,,0.762,21.603176,71.222084,10.20425243634888,Heavily polluted
3,UTTARAKHAND,CHAMPAWAT,GHAT,,8.37916666666667,,7.18916666666667,0.639166666666667,176.166666666667,145.55525,13.371666666666698,0.2139,16.36,,,0.15991666666666698,29.336098,80.091026,2.7321481515035373,Slightly polluted
35,ASSAM,KAMRUP,KULSI,6.7775,6.5575,,2.5,,25.5,68.79375,11.25,0.0,1.17,,,,26.062958,91.271257,2.7642769807944707,Slightly polluted
11,"""ARUNACHAL PRADESH""",LOHIT,Tezu,,7.225,,,,89.25,81.1905875,7.625,,1.195,,,,27.9254195,96.1647135,1.2112614477584718,Acceptable
58,ASSAM,DIBRUGARH,Dibrugarh,,7.5,,,,82.5,81.7156125,4.4375,,1.16,,,,27.4844597,94.9019447,1.2834480891746403,Acceptable
302,TAMILNADU,KANNIYAKUMARI,KUZHITHURAI,,7.11166666666667,,,,219.833333333333,56.1110666666667,53.866666666666696,0.0555,14.3666666666667,,3.84,0.9701666666666672,8.310425,77.21238199999998,0.8885896876928374,Excellent
352,KARNATAKA,"""UTTARA KANNADA""",SANTEGULI,,6.77666666666667,,,,,18.4333333333333,5.97583333333333,0.023,2.472,,4.515,0.0665,14.4260834,74.5799483,0.8898934997467248,Excellent
358,GUJARAT,RAJKOT,Ganod,19.4,8.517999999999999,,8.46,1.92,647.2,275.8766,212.0,0.066,21.308000000000003,146337.0,,0.7759999999999999,21.671,70.1836,4.66947873276344,Polluted
32,GUJARAT,"""BANAS KANTHA""",Chitrasani,11.75,8.4675,,10.125,2.725,448.5,220.29575,93.5,0.015,15.0,271040.0,,0.8175,24.264418,72.4858985,5.125724375274991,Polluted
