Unnamed: 0,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
49,ASSAM,LAKHIMPUR,"""Ranganadi NT Road crossing""",17.01499097748317,7.5825,,8.2,2.6815519541519084,91.0,77.956325,5.0625,0.07788076145771602,1.2375,28662.758076799753,3.6826225806451607,0.3672985530539035
50,ODISHA,BALANGIR,Kesinga,17.01499097748317,8.35666666666667,,7.54166666666667,0.566666666666667,220.23367054827756,102.279925,15.333333333333302,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
51,CHHATTISGARH,JANJGIRCHAMPA,Seorinarayan,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
52,"""UTTAR PRADESH""",FATEHPUR,Koraold,17.01499097748317,8.1725,,6.703154676138132,2.6815519541519084,220.23367054827756,89.779855,16.95125,0.02415,20.88,28662.758076799753,3.6826225806451607,0.3135
53,ASSAM,CACHAR,Fulertal,17.01499097748317,6.95181818181818,,6.703154676138132,2.6815519541519084,70.0909090909091,76.3235454545455,13.0,0.07788076145771602,1.20090909090909,28662.758076799753,3.6826225806451607,0.3672985530539035
54,RAJASTHAN,DUNGARPUR,Paderdibadi,13.416666666666698,8.3175,,8.31666666666667,2.0416666666666696,314.83333333333303,189.582666666667,40.1666666666667,0.025833333333332997,11.51,178005.285714286,3.6826225806451607,0.729166666666667
55,"""ANDHRA PRADESH""",Y.S.R.,Singavaram,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
56,BIHAR,DARBHANGA,Ekmighat,17.01499097748317,8.86666666666667,,6.703154676138132,2.37208333333333,207.416666666667,190.41041666666698,28.75,0.07788076145771602,6.0,28662.758076799753,3.6826225806451607,0.3672985530539035
57,"""UTTAR PRADESH""",HARDOI,Ankinghat,7.69166666666667,8.26833333333333,,6.09333333333333,4.04818181818182,217.5,244.33791666666698,20.353333333333303,0.35305,16.84,28662.758076799753,3.6826225806451607,0.3926666666666671
58,ASSAM,DIBRUGARH,Dibrugarh,17.01499097748317,7.5,,6.703154676138132,2.6815519541519084,82.5,81.7156125,4.4375,0.07788076145771602,1.16,28662.758076799753,3.6826225806451607,0.3672985530539035
59,"""UTTAR PRADESH""","""RAE BARELI""",Bhitaura,7.025,8.1325,,5.38833333333333,4.07363636363636,220.333333333333,233.26816666666699,22.63125,0.3611,15.88,28662.758076799753,3.6826225806451607,0.335666666666667
60,MEGHALAYA,"""JAINTIA HILLS""",kharkhana,17.01499097748317,3.8318181818181802,,6.703154676138132,2.6815519541519084,98.0,69.1924545454546,17.9090909090909,0.07788076145771602,1.2,28662.758076799753,3.6826225806451607,0.3672985530539035
61,UTTARAKHAND,HARDWAR,"""ROORKEE D/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
62,ASSAM,TINSUKIA,Margherita,17.01499097748317,7.6,,6.703154676138132,2.6815519541519084,67.0,67.5359,2.1666666666666696,0.07788076145771602,1.41,28662.758076799753,3.6826225806451607,0.3672985530539035
63,ASSAM,SIVASAGAR,Bihubar,17.01499097748317,7.69375,,6.703154676138132,2.6815519541519084,92.125,86.840475,5.8125,0.07788076145771602,1.195,28662.758076799753,3.6826225806451607,0.3672985530539035
64,BIHAR,GAYA,Gaya,17.01499097748317,8.1275,,6.703154676138132,2.6815519541519084,137.5,131.3686625,20.5,0.07788076145771602,13.85,28662.758076799753,3.6826225806451607,0.3672985530539035
65,"""MADHYA PRADESH""",BARWANI,Pati,14.2625,8.24125,,6.7,0.7,267.25,184.239625,16.075,0.036875,22.4875,28662.758076799753,3.6826225806451607,0.27125
66,KARNATAKA,UDUPI,YENNEHOLE,17.01499097748317,6.5725,,6.703154676138132,2.6815519541519084,220.23367054827756,11.05625,4.4375,0.0,1.716,28662.758076799753,0.98,0.1425
67,JHARKHAND,"""PURBI SINGHBHUM""",Ghatsila,17.01499097748317,7.551666666666669,,6.635833333333331,0.961666666666667,220.23367054827756,89.4028083333333,27.408333333333303,0.02415,33.275,28662.758076799753,3.6826225806451607,0.05
68,TELANGANA,KHAMMAM,Bhadrachalam,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
69,TAMILNADU,VIRUDUNAGAR,IRRUKKANKUDI,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
70,MAHARASHTRA,SATARA,Warunji,17.01499097748317,6.9,,5.7,0.85,220.23367054827756,44.298,5.21,0.005921045,17.0,275500.0,3.6826225806451607,0.2925
71,TAMILNADU,VILUPPURAM,Villupuram,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
72,TAMILNADU,THENI,THENI,17.01499097748317,7.60375,,7.2875,1.6,205.0,76.7323875,15.77625,0.07788076145771602,5.5475,28662.758076799753,2.91,0.24525
73,"""UTTAR PRADESH""",JAUNPUR,MAIGHAT,17.01499097748317,8.155,,7.62166666666667,2.72833333333333,181.083333333333,162.430583333333,42.6666666666667,0.0,28.5,2375.0,16.0,0.4325
74,"""MADHYA PRADESH""",DHAR,Dhulsar,17.85,8.4005,,6.41666666666667,1.01666666666667,271.83333333333303,186.49716666666697,20.233333333333302,0.061666666666666994,30.9883333333333,28662.758076799753,3.6826225806451607,0.266
75,UTTARAKHAND,UTTARKASHI,Uttarkashi,17.01499097748317,7.90083333333333,,8.08333333333333,1.1175,104.273333333333,57.1666666666667,9.08333333333333,0.033925,19.0,28662.758076799753,3.6826225806451607,0.26
76,"""UTTAR PRADESH""",HAMIRPUR,MOHANA,17.01499097748317,8.45,,6.703154676138132,2.6815519541519084,220.23367054827756,139.552333333333,21.3,0.0368,6.72,28662.758076799753,3.6826225806451607,0.29766666666666697
77,DELHI,"""NORTH WEST""",Palla,17.01499097748317,7.6775,,7.625,4.74083333333333,298.83333333333303,175.516666666667,52.95,0.07788076145771602,62.7083333333333,28662.758076799753,3.6826225806451607,0.38
78,TAMILNADU,VELLORE,Arcot,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
