Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs
397,"""DAMAN & DIU""",DAMAN,PINGALWADA,2.9166666666666696,7.47833333333333,,2.0181818181818203,1.3641666666666699,675.0833333333339,124.71233333333299,113.916666666667,0.10222222222222198,14.35,15800.0,,0.235,72.0,18.0
398,MIZORAM,AIZAWL,Sairang,,,,,,,,,,,,,,23.8137021,92.6538494
399,"""WEST BENGAL""",BIRBHUM,"""Tilpara  Mihirlal Barrage""",,8.23333333333333,,,,,119.142333333333,15.738333333333301,,1.6,,,,72.0,18.0
400,TELANGANA,NALGONDA,Dameracherla,3.87909090909091,8.07272727272727,,6.02727272727273,1.25454545454545,635.818181818182,239.553090909091,132.336363636364,0.0,79.76363636363641,1630.9090909090899,0.873333333333333,1.08727272727273,72.0,18.0
401,KARNATAKA,CHAMRAJNAGAR,BILIGUNDULU,,8.03083333333333,,6.28916666666667,0.9466666666666658,,124.28333333333299,28.9620833333333,0.023,10.244000000000002,,2.985,0.374818181818182,72.0,18.0
402,TRIPURA,"""WEST TRIPURA""",KHOWAI,,,,,,,,,,,,,,24.04673835,91.62320953646798
403,"""UTTAR PRADESH""",FARRUKHABAD,Fatehgarh,6.075,8.02,,6.90916666666667,1.5175,162.916666666667,172.370166666667,15.975,0.161,14.48,,,0.4148333333333329,20.28047395,85.26527880245061
404,KERALA,KANNUR,PERUMANNU,,6.74833333333333,,6.76666666666667,0.673333333333333,31.5,21.152766666666697,6.7833333333333306,0.037833333333333,0.866666666666667,1600.0,1.95,0.1579,11.9847183,75.5807501
405,"""ANDHRA PRADESH""",KRISHNA,Keesara,2.55,8.2,,6.7,1.025,506.5,206.60425,62.1,0.0,38.6,8182.5,4.39,0.7825,16.719107,80.3248697
406,CHHATTISGARH,RAIPUR,Pathardihi,,8.088,,5.9,1.14,,118.31513999999999,31.4,,,,,,72.0,18.0
407,KERALA,PATHANAMTHITTA,MALAKKARA,,6.82166666666667,,6.55,0.3833333333333329,22.5,14.361116666666698,5.61666666666667,0.030333333333332994,0.716666666666667,1240.0,3.71,0.115183333333333,9.3275048,76.6545188
408,"""MADHYA PRADESH""",NARSIMHAPUR,Barmanghat,,,,,,,,,,,,,,72.0,18.0
409,MAHARASHTRA,WARDHA,Hivra,1.9,8.24,,6.79166666666667,1.96666666666667,,204.491666666667,22.0433333333333,0.00435,17.985,16925.0,4.22666666666667,0.4332166666666671,21.398444,79.5067277
410,TAMILNADU,VELLORE,Avarankuppam,,,,,,,,,,,,,,72.0,18.0
411,"""MADHYA PRADESH""",PANNA,MADLA,,8.49,,,,,136.91466666666702,15.975,0.069,15.84,,,0.22166666666666698,58.9504168,5.6859643
412,RAJASTHAN,DUNGARPUR,Rangeli,12.333333333333302,8.321666666666669,,8.63333333333333,2.95,394.333333333333,207.082,62.1666666666667,0.021666666666667,14.8666666666667,92702.6666666667,,0.731666666666667,26.48928025,87.46204555438288
413,ASSAM,MARIGAON,Dharamtul,,7.41125,,,,68.5,76.8645875,6.4375,,1.1725,,,,26.1882989,92.3653087
414,"""MADHYA PRADESH""",SHIVPURI,PACHAWALI,,8.23,,,3.37,,239.025,30.89,,5.76,,,0.198888888888889,72.0,18.0
415,"""ANDHRA PRADESH""",Y.S.R.,Chennur,,7.92916666666667,,7.28966666666667,2.33,448.5,150.30775,153.2925,,96.7908333333333,,3.59,0.7714166666666659,14.55641945,78.81623472316433
416,CHHATTISGARH,BIJAPUR,Pathagudem,10.37,7.9272727272727295,,6.5,0.672727272727273,93.7272727272727,69.8939363636364,3.80909090909091,0.0,7.9,2209.27272727273,1.1943,0.147272727272727,72.0,18.0
417,"""UTTAR PRADESH""",ETAWAH,UDI,,8.34166666666667,,,,,164.343166666667,37.7483333333333,0.0184,42.24,,,0.302416666666667,50.1347362,35.9297097
418,ASSAM,KAMRUP,Pandu,15.025,7.225,,10.0675,0.675,107.5,116.095825,11.25,0.0,1.175,,,,24.3326098,83.97707324547656
419,ASSAM,NAGAON,Kampur,,7.2975,,,,88.5,94.9915,3.875,,1.205,,,,26.09395215,92.65851040820516
420,MAHARASHTRA,SANGLI,"""Arjunwad (Seasonal)""",,,,,,,,,,,,,,72.0,18.0
421,"""UTTAR PRADESH""",SITAPUR,Neemsar,3.025,8.3975,,7.12,2.0475,200.25,194.51575,18.54875,0.29325,16.56,,,0.30875,27.4324109,80.5305852
422,"""UTTAR PRADESH""",GORAKHPUR,Regauli,,8.27833333333333,,6.79333333333333,1.18833333333333,243.916666666667,159.425666666667,16.7145833333333,0.22425,18.64,,,0.17575,72.0,18.0
423,"""WEST BENGAL""",MALDAH,ENGLISHBAZAR,,,,,,,230.30841666666697,15.825,,7.6941666666666695,,,,72.0,18.0
424,GUJARAT,AHMADABAD,Vautha,35.4166666666667,7.96083333333333,,1.6858333333333302,24.483333333333302,1217.66666666667,367.015916666667,316.75,0.130833333333333,61.390833333333305,4413.25,,0.7325,72.0,18.0
425,TAMILNADU,KRISHNAGIRI,SINGASADANAPALLI,,,,,,,,,,,,,,72.0,18.0
426,ASSAM,CACHAR,B.P.GHAT,,6.83083333333333,,,,81.3333333333333,82.4146083333333,14.75,,1.2075,,,,31.6691798,77.446264
427,TRIPURA,DHALAI,"""KAMALPUR GDS SITE""",,,,,,,,,,,,,,72.0,18.0
428,"""HIMACHAL PRADESH""",SOLAN,"""Yaswant Nagar""",,7.715,,9.1,2.86,163.166666666667,117.47345,13.943333333333301,,33.0166666666667,,,0.175,72.0,18.0
429,"""UTTAR PRADESH""",GHAZIABAD,Mohna,,7.42583333333333,,3.48,30.961666666666698,662.083333333333,281.0535,158.265833333333,,83.8416666666667,,,0.655,28.2228843,77.4447889
430,ODISHA,GAJAPATI,Mahendragarh,,,,,,,,,,,,,,28.25,76.166667
431,KARNATAKA,RAICHUR,Mantralayam,,,,,,,,,,,,,,15.88036,77.38551512751738
432,ASSAM,DIBRUGARH,Naharkatia,,7.675,,,,84.5,83.94075,16.25,,1.19,,,,27.2862044,95.3257825
433,UTTARAKHAND,"""TEHRI GARHWAL""",Koteshwar,,7.87083333333333,,7.4666666666666694,1.15083333333333,83.3166666666667,50.75,8.33333333333333,0.02783,13.625,,,0.17916666666666697,23.0968937,72.6135747
434,KARNATAKA,"""DAKSHINA KANNADA""",ADDOOR,,6.74,,,,,12.725,4.615,0.0046,2.32,,3.01,0.025333333333332996,72.0,18.0
435,"""MADHYA PRADESH""",MANDLA,Mohgaon,81.3416666666667,8.07333333333333,,6.425,0.791666666666667,119.25,101.22213333333299,8.675,0.045833333333333004,5.76333333333333,,,0.18391666666666698,21.3034838,79.8042367
436,UTTARAKHAND,GARHWAL,"""Rudraprayag (A)""",,8.01416666666667,,8.165,1.155,117.426666666667,76.5,9.91666666666667,0.03887,17.7083333333333,,,0.23583333333333303,30.3009965,79.06287964782695
437,"""UTTAR PRADESH""",KAUSHAMBI,RAJAPUR,,8.55,,,3.6,,196.066333333333,77.5083333333333,0.1311,45.28,0.0,,0.41166666666666707,16.63868985,73.54605189510137
438,CHHATTISGARH,RAIPUR,Simga,,7.97636363636364,,5.87272727272727,1.07272727272727,,150.86132727272698,34.9090909090909,,,,,,46.9015395,142.1890957
439,"""UTTAR PRADESH""",SONBHADRA,CHOPAN,1.06666666666667,8.03,,7.485,2.7466666666666697,135.083333333333,165.829833333333,25.1666666666667,0.0,13.25,2358.3333333333303,19.0,0.4328333333333329,24.5135659,83.0263968
440,"""UTTAR PRADESH""",BAHRAICH,B.K.Ghat,,,,,,,,,,,,,,31.6998283,77.2449589
