Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs
270,"""UTTAR PRADESH""","""KANPUR NAGAR""",Kanpur,7.39166666666667,8.21083333333333,,6.07583333333333,4.421818181818179,212.5,232.166,20.85625,0.33235,16.44,,,0.37841666666666707,26.4609135,80.3217588
271,"""ANDHRA PRADESH""",Y.S.R.,Nandipalli,,7.92222222222222,,5.150625,2.15,550.777777777778,133.458222222222,223.895555555556,,32.96,,3.02,1.3646666666666698,15.4526914,78.5474695
272,BIHAR,MUZAFFARPUR,"""Sikandarpur (Muzzafarpur)""",,8.1875,,6.58575,2.02616666666667,246.75,213.90075,27.75,,8.83333333333333,,,,72.0,18.0
273,TAMILNADU,KANNIYAKUMARI,ASHRAMAM,,7.02166666666667,,7.0,,329.66666666666697,132.06945,52.6,0.093666666666667,16.1833333333333,,3.03,2.0778333333333303,13.05422475,80.24376701399122
274,TRIPURA,"""WEST TRIPURA""",Sonamura,,,,,,,,,,,,,,23.4757939,91.2653482
275,ASSAM,CACHAR,Dholai,,6.8908333333333305,,,,67.25,75.2479083333333,10.5,,1.2025,,,,24.5958997,92.8463656
276,TAMILNADU,NAGAPPATTINAM,Porakudi,,7.5,,,1.19333333333333,114.666666666667,75.3944333333333,30.25,,7.84666666666667,,,0.226666666666667,72.0,18.0
277,MAHARASHTRA,RAIGARH,Mangaon,,7.0,,6.3,0.94,,38.60608,4.56,0.003445746,9.02,135400.0,5.1,0.2732,18.29761345,73.29251423010135
278,ODISHA,BALESHWAR,"""Govindapur (NH5 Road Bridge)""",,7.64166666666667,,,,,62.3889,21.95,0.0,20.3166666666667,,,0.05,26.4961913,87.57000824385534
279,ODISHA,KENDUJHAR,Champua,,7.41666666666667,,,,,43.3472,13.483333333333302,0.0046,13.466666666666699,,,0.05,22.00580135,85.58517122411192
280,"""WEST BENGAL""",NADIA,CHAPRA,,,,,,,194.8099,16.4770833333333,,13.608333333333302,,,,25.773344299999998,84.78497716754097
281,MIZORAM,AIZAWL,Turial,,,,,,,,,,,,,,23.7458436,92.8030161
282,MAHARASHTRA,NANDED,Yelli,,,,,,,,,,,,,,40.2746988,32.2562361
283,MEGHALAYA,"""SOUTH GARO HILLS""",Dimapara,,6.85833333333333,,,,71.2666666666667,71.670125,12.5,,1.19166666666667,,,,72.0,18.0
284,UTTARAKHAND,HARDWAR,"""ROORKEE U/S""",,,,,,,,,,,,,,29.7898161,77.9431728
285,"""MADHYA PRADESH""",SEONI,Keolari,,,,,,,,,,,,,,22.3688511,79.9060943
286,CHHATTISGARH,RAIPUR,Baronda,,8.15,,7.5,0.55,,54.258333333333304,13.0,,,,,,-36.6849055,149.998283
287,TAMILNADU,TIRUNELVELI,A.P.PURAM,,7.45,,,,165.0,139.789,60.86,,32.0366666666667,,0.02,0.36700000000000005,28.6625356,77.0089716741951
288,ODISHA,GANJAM,Purushottampur,,7.765,,,,,72.47915,21.35,0.0,18.925,,,0.05,72.0,18.0
