Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
254,JHARKHAND,RAMGARH,Ramgarh,,,,,,,44.902,23.0266666666667,,19.82,,,
255,TAMILNADU,DHARMAPURI,THOPPUR,,,,,,,,,,,,,
256,MAHARASHTRA,CHANDRAPUR,Sakmur/Sirpur,,,,,,,,,,,,,
257,ASSAM,KARIMGANJ,Badarpurghat,,6.83083333333333,,,,81.3333333333333,82.4146083333333,14.75,,1.2075,,,
258,"""MADHYA PRADESH""",SIDHI,"""KULDAH BRIDGE""",,8.22333333333333,,7.33666666666667,2.64,175.333333333333,187.6605,24.1666666666667,0,12.5,2125,15.5,0.419833333333333
259,BIHAR,SITAMARHI,"""Dheng Bridge""",,8.03333333333333,,,1.8955,204.5,196.720833333333,23.3333333333333,,7,,,
260,MAHARASHTRA,SOLAPUR,Wadakbal,,,,,,,,,,,,,
261,ODISHA,BALANGIR,Salebhata,,8.20363636363636,,7.71818181818182,0.927272727272727,,132.268945454545,21.5454545454545,,,,,
262,KERALA,ERNAKULAM,KALAMPUR,,6.78166666666667,,6.28333333333333,0.745,28.8333333333333,18.8333333333333,6.26666666666667,0.009,0.783333333333333,1320,4.995,0.17535
263,CHHATTISGARH,KORIYA,Manendragarh,,8.12333333333333,,7.33333333333333,1.28888888888889,,118.192544444444,21.7777777777778,,,,,
264,"""ANDHRA PRADESH""","""SRI POTTI SRIRAMULU NELLORE""",Naidupet,,7.82428571428571,,6.77871428571429,1.82857142857143,323,116.774857142857,111.735714285714,,31.2728571428571,,,0.5
265,"""UTTAR PRADESH""",PRAYAGRAJ,"""Shastri Bridge""",,,,,,,,,,,,,
266,ASSAM,"""KAMRUP METROPOLITAN""",SONAPUR,12.1375,6.2875,,,,62.5,64.49165,14.5,0,1.175,,,
267,UTTARAKHAND,PITHORAGARH,"""Bangapani (Munsyari)""",,,,,,,,,,,,,
268,"""UTTAR PRADESH""",VARANASI,VARANASI,,8.44166666666667,,7.66666666666667,3.06833333333333,229.316666666667,154.167833333333,63.8333333333333,0,34.3333333333333,8408.33333333333,2.5,0.619833333333333
269,"""MADHYA PRADESH""",MANDLA,Bamni,59.5,7.78625,,6.6125,0.775,88.25,70.6635375,7.8625,0.049625,8.91,,,0.276125
270,"""UTTAR PRADESH""","""KANPUR NAGAR""",Kanpur,7.39166666666667,8.21083333333333,,6.07583333333333,4.42181818181818,212.5,232.166,20.85625,0.33235,16.44,,,0.378416666666667
271,"""ANDHRA PRADESH""",Y.S.R.,Nandipalli,,7.92222222222222,,5.150625,2.15,550.777777777778,133.458222222222,223.895555555556,,32.96,,3.02,1.36466666666667
