Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
404,KERALA,KANNUR,PERUMANNU,,6.74833333333333,,6.76666666666667,0.673333333333333,31.5,21.1527666666667,6.78333333333333,0.037833333333333,0.866666666666667,1600,1.95,0.1579
405,"""ANDHRA PRADESH""",KRISHNA,Keesara,2.55,8.2,,6.7,1.025,506.5,206.60425,62.1,0,38.6,8182.5,4.39,0.7825
406,CHHATTISGARH,RAIPUR,Pathardihi,,8.088,,5.9,1.14,,118.31514,31.4,,,,,
407,KERALA,PATHANAMTHITTA,MALAKKARA,,6.82166666666667,,6.55,0.383333333333333,22.5,14.3611166666667,5.61666666666667,0.030333333333333,0.716666666666667,1240,3.71,0.115183333333333
408,"""MADHYA PRADESH""",NARSIMHAPUR,Barmanghat,,,,,,,,,,,,,
409,MAHARASHTRA,WARDHA,Hivra,1.9,8.24,,6.79166666666667,1.96666666666667,,204.491666666667,22.0433333333333,0.00435,17.985,16925,4.22666666666667,0.433216666666667
410,TAMILNADU,VELLORE,Avarankuppam,,,,,,,,,,,,,
411,"""MADHYA PRADESH""",PANNA,MADLA,,8.49,,,,,136.914666666667,15.975,0.069,15.84,,,0.221666666666667
412,RAJASTHAN,DUNGARPUR,Rangeli,12.3333333333333,8.32166666666667,,8.63333333333333,2.95,394.333333333333,207.082,62.1666666666667,0.021666666666667,14.8666666666667,92702.6666666667,,0.731666666666667
413,ASSAM,MARIGAON,Dharamtul,,7.41125,,,,68.5,76.8645875,6.4375,,1.1725,,,
414,"""MADHYA PRADESH""",SHIVPURI,PACHAWALI,,8.23,,,3.37,,239.025,30.89,,5.76,,,0.198888888888889
415,"""ANDHRA PRADESH""",Y.S.R.,Chennur,,7.92916666666667,,7.28966666666667,2.33,448.5,150.30775,153.2925,,96.7908333333333,,3.59,0.771416666666666
416,CHHATTISGARH,BIJAPUR,Pathagudem,10.37,7.92727272727273,,6.5,0.672727272727273,93.7272727272727,69.8939363636364,3.80909090909091,0,7.9,2209.27272727273,1.1943,0.147272727272727
417,"""UTTAR PRADESH""",ETAWAH,UDI,,8.34166666666667,,,,,164.343166666667,37.7483333333333,0.0184,42.24,,,0.302416666666667
418,ASSAM,KAMRUP,Pandu,15.025,7.225,,10.0675,0.675,107.5,116.095825,11.25,0,1.175,,,
419,ASSAM,NAGAON,Kampur,,7.2975,,,,88.5,94.9915,3.875,,1.205,,,
420,MAHARASHTRA,SANGLI,"""Arjunwad (Seasonal)""",,,,,,,,,,,,,
421,"""UTTAR PRADESH""",SITAPUR,Neemsar,3.025,8.3975,,7.12,2.0475,200.25,194.51575,18.54875,0.29325,16.56,,,0.30875
422,"""UTTAR PRADESH""",GORAKHPUR,Regauli,,8.27833333333333,,6.79333333333333,1.18833333333333,243.916666666667,159.425666666667,16.7145833333333,0.22425,18.64,,,0.17575
423,"""WEST BENGAL""",MALDAH,ENGLISHBAZAR,,,,,,,230.308416666667,15.825,,7.69416666666667,,,
424,GUJARAT,AHMADABAD,Vautha,35.4166666666667,7.96083333333333,,1.68583333333333,24.4833333333333,1217.66666666667,367.015916666667,316.75,0.130833333333333,61.3908333333333,4413.25,,0.7325
425,TAMILNADU,KRISHNAGIRI,SINGASADANAPALLI,,,,,,,,,,,,,
426,ASSAM,CACHAR,B.P.GHAT,,6.83083333333333,,,,81.3333333333333,82.4146083333333,14.75,,1.2075,,,
427,TRIPURA,DHALAI,"""KAMALPUR GDS SITE""",,,,,,,,,,,,,
428,"""HIMACHAL PRADESH""",SOLAN,"""Yaswant Nagar""",,7.715,,9.1,2.86,163.166666666667,117.47345,13.9433333333333,,33.0166666666667,,,0.175
429,"""UTTAR PRADESH""",GHAZIABAD,Mohna,,7.42583333333333,,3.48,30.9616666666667,662.083333333333,281.0535,158.265833333333,,83.8416666666667,,,0.655
430,ODISHA,GAJAPATI,Mahendragarh,,,,,,,,,,,,,
431,KARNATAKA,RAICHUR,Mantralayam,,,,,,,,,,,,,
432,ASSAM,DIBRUGARH,Naharkatia,,7.675,,,,84.5,83.94075,16.25,,1.19,,,
433,UTTARAKHAND,"""TEHRI GARHWAL""",Koteshwar,,7.87083333333333,,7.46666666666667,1.15083333333333,83.3166666666667,50.75,8.33333333333333,0.02783,13.625,,,0.179166666666667
434,KARNATAKA,"""DAKSHINA KANNADA""",ADDOOR,,6.74,,,,,12.725,4.615,0.0046,2.32,,3.01,0.025333333333333
435,"""MADHYA PRADESH""",MANDLA,Mohgaon,81.3416666666667,8.07333333333333,,6.425,0.791666666666667,119.25,101.222133333333,8.675,0.045833333333333,5.76333333333333,,,0.183916666666667
436,UTTARAKHAND,GARHWAL,"""Rudraprayag (A)""",,8.01416666666667,,8.165,1.155,117.426666666667,76.5,9.91666666666667,0.03887,17.7083333333333,,,0.235833333333333
437,"""UTTAR PRADESH""",KAUSHAMBI,RAJAPUR,,8.55,,,3.6,,196.066333333333,77.5083333333333,0.1311,45.28,0,,0.411666666666667
438,CHHATTISGARH,RAIPUR,Simga,,7.97636363636364,,5.87272727272727,1.07272727272727,,150.861327272727,34.9090909090909,,,,,
439,"""UTTAR PRADESH""",SONBHADRA,CHOPAN,1.06666666666667,8.03,,7.485,2.74666666666667,135.083333333333,165.829833333333,25.1666666666667,0,13.25,2358.33333333333,19,0.432833333333333
440,"""UTTAR PRADESH""",BAHRAICH,B.K.Ghat,,,,,,,,,,,,,
