Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs
31,GUJARAT,AMRELI,Lowara,16.4,8.366,,9.2,2.74,3790.8,724.3322,1569.2,0.104,54.238,271004.0,,0.762,21.603176,71.222084
3,UTTARAKHAND,CHAMPAWAT,GHAT,,8.37916666666667,,7.18916666666667,0.639166666666667,176.166666666667,145.55525,13.371666666666698,0.2139,16.36,,,0.15991666666666698,29.336098,80.091026
35,ASSAM,KAMRUP,KULSI,6.7775,6.5575,,2.5,,25.5,68.79375,11.25,0.0,1.17,,,,26.062958,91.27125699999999
11,"""ARUNACHAL PRADESH""",LOHIT,Tezu,,7.225,,,,89.25,81.1905875,7.625,,1.195,,,,27.9254195,96.1647135
58,ASSAM,DIBRUGARH,Dibrugarh,,7.5,,,,82.5,81.7156125,4.4375,,1.16,,,,27.484459700000002,94.9019447
302,TAMILNADU,KANNIYAKUMARI,KUZHITHURAI,,7.11166666666667,,,,219.833333333333,56.1110666666667,53.866666666666696,0.0555,14.3666666666667,,3.84,0.9701666666666672,8.310425,77.21238199999999
352,KARNATAKA,"""UTTARA KANNADA""",SANTEGULI,,6.77666666666667,,,,,18.4333333333333,5.97583333333333,0.023,2.472,,4.515,0.0665,14.4260834,74.5799483
358,GUJARAT,RAJKOT,Ganod,19.4,8.517999999999999,,8.46,1.92,647.2,275.8766,212.0,0.066,21.308000000000003,146337.0,,0.7759999999999999,21.6710,70.1836
32,GUJARAT,"""BANAS KANTHA""",Chitrasani,11.75,8.4675,,10.125,2.725,448.5,220.29575,93.5,0.015,15.0,271040.0,,0.8175,24.264418,72.4858985
